Название;ID;Результат;Sprite;Источник наследования;Файл;Найденные модели
ИМР на базе VAB;arv_apc_fra_VAB_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_fra_VAB.txt;[]
САУ на базе VAB;sp_artillery_apc_fra_VAB_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_fra_VAB.txt;[]
Шасси Boxer;apc_ger_boxer_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ger_boxer.txt;[]
ЛТ на базе Boxer;light_tank_apc_ger_boxer_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ger_boxer.txt;[]
ЗРК на базе Boxer;sp_aa_apc_ger_boxer_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ger_boxer.txt;[]
Мобильный ПТРК на базе Boxer;sp_atgm_apc_ger_boxer_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ger_boxer.txt;[]
ИМР на базе Boxer;arv_apc_ger_boxer_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ger_boxer.txt;[]
САУ на базе Boxer;sp_artillery_apc_ger_boxer_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ger_boxer.txt;[]
Шасси TPz 1 Fuchs;apc_ger_fuchs_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ger_fuchs.txt;[]
ЛТ на базе TPz 1 Fuchs;light_tank_apc_ger_fuchs_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ger_fuchs.txt;[]
ЗРК на базе TPz 1 Fuchs;sp_aa_apc_ger_fuchs_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ger_fuchs.txt;[]
Мобильный ПТРК на базе TPz 1 Fuchs;sp_atgm_apc_ger_fuchs_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ger_fuchs.txt;[]
ИМР на базе TPz 1 Fuchs;arv_apc_ger_fuchs_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ger_fuchs.txt;[]
САУ на базе TPz 1 Fuchs;sp_artillery_apc_ger_fuchs_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ger_fuchs.txt;[]
Шасси Freccia;apc_ita_freccia_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ita_freccia.txt;[]
ЛТ на базе Freccia;light_tank_apc_ita_freccia_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ita_freccia.txt;[]
ЗРК на базе Freccia;sp_aa_apc_ita_freccia_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ita_freccia.txt;[]
Мобильный ПТРК на базе Freccia;sp_atgm_apc_ita_freccia_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ita_freccia.txt;[]
ИМР на базе Freccia;arv_apc_ita_freccia_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ita_freccia.txt;[]
САУ на базе Freccia;sp_artillery_apc_ita_freccia_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_ita_freccia.txt;[]
Шасси Rosomak;apc_pol_rosomak_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_pol_rosomak.txt;[]
ЛТ на базе Rosomak;light_tank_apc_pol_rosomak_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_pol_rosomak.txt;[]
ЗРК на базе Rosomak;sp_aa_apc_pol_rosomak_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_pol_rosomak.txt;[]
Мобильная ПТРК на базе Rosomak;sp_atgm_apc_pol_rosomak_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_pol_rosomak.txt;[]
ИМР на базе Rosomak;arv_apc_pol_rosomak_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_pol_rosomak.txt;[]
САУ на базе Rosomak;sp_artillery_apc_pol_rosomak_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_pol_rosomak.txt;[]
Шасси БТР-50;apc_sov_btr50_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЛТ на базе БТР-50;light_tank_apc_sov_btr50_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЗРК на базе БТР-50;sp_aa_apc_sov_btr50_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Мобильная установка с ПТУР на базе БТР-50;sp_atgm_apc_sov_btr50_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ИМР на базе БТР-50;arv_apc_sov_btr50_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
САУ на базе БТР-50;sp_artillery_apc_sov_btr50_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Шасси МТ-ЛБ;apc_sov_mtlb_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЛТ на базе МТ-ЛБ;light_tank_apc_sov_mtlb_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЗРК на базе МТ-ЛБ;sp_aa_apc_sov_mtlb_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Мобильная установка с ПТУР на базе МТ-ЛБ;sp_atgm_apc_sov_mtlb_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ИМР на базе МТ-ЛБ;arv_apc_sov_mtlb_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
САУ на базе МТ-ЛБ;sp_artillery_apc_sov_mtlb_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
РСЗО на базе МТ-ЛБ;sp_mlrs_apc_sov_mtlb_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ТОС на базе МТ-ЛБ;sp_tos_apc_sov_mtlb_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Шасси БТР-60;apc_sov_btr60_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЛТ на базе БТР-60;light_tank_apc_sov_btr60_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЗРК на базе БТР-60;sp_aa_apc_sov_btr60_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Мобильная установка с ПТУР на базе БТР-60;sp_atgm_apc_sov_btr60_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ИМР на базе БТР-60;arv_apc_sov_btr60_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
САУ на базе БТР-60;sp_artillery_apc_sov_btr60_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Шасси БТР-70;apc_sov_btr70_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЛТ на базе БТР-70;light_tank_apc_sov_btr70_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЗРК на базе БТР-70;sp_aa_apc_sov_btr70_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Мобильная установка с ПТУР на базе БТР-70;sp_atgm_apc_sov_btr70_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ИМР на базе БТР-70;arv_apc_sov_btr70_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
САУ на базе БТР-70;sp_artillery_apc_sov_btr70_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Шасси БТР-80;apc_sov_btr80_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЛТ на базе БТР-80;light_tank_apc_sov_btr80_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЗРК на базе БТР-80;sp_aa_apc_sov_btr80_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Мобильная установка с ПТУР на базе БТР-80;sp_atgm_apc_sov_btr80_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ИМР на базе БТР-80;arv_apc_sov_btr80_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
САУ на базе БТР-80;sp_artillery_apc_sov_btr80_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Шасси БТР-87;apc_rus_btr87_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЛТ на базе БТР-87;light_tank_apc_rus_btr87_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЗРК на базе БТР-87;sp_aa_apc_rus_btr87_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Мобильная установка с ПТУР на базе БТР-87;sp_atgm_apc_rus_btr87_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ИМР на базе БТР-87;arv_apc_rus_btr87_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
САУ на базе БТР-87;sp_artillery_apc_rus_btr87_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Шасси БТР-3;apc_ukr_btr3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЛТ на базе БТР-3;light_tank_apc_ukr_btr3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЗРК на базе БТР-3;sp_aa_apc_ukr_btr3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Мобильная установка с ПТУР на базе БТР-3;sp_atgm_apc_ukr_btr3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ИМР на базе БТР-3;arv_apc_ukr_btr3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
САУ на базе БТР-3;sp_artillery_apc_ukr_btr3_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Шасси БТР-90;apc_rus_btr90_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЛТ на базе БТР-90;light_tank_apc_rus_btr90_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ЗРК на базе БТР-90;sp_aa_apc_rus_btr90_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
Мобильная установка с ПТУР на базе БТР-90;sp_atgm_apc_rus_btr90_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
ИМР на базе БТР-90;arv_apc_rus_btr90_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
САУ на базе БТР-90;sp_artillery_apc_rus_btr90_equipment;"Отдельная привязка техники не найдена; возможна общая модель батальона";;;common/units/equipment/ES_apc_chassis_sov.txt;[]
