oob = "LPR_2022"
	electr7 = 1
	electr8 = 1
	oborudovanie1 = 1
	oborudovanie2 = 1
	oborudovanie3 = 1
	oborudovanie4 = 1
}

add_ideas = {
	extensive_conscription
	low_economic_mobilisation
	DNB_unsurrendered_republic
	DNB_donbass_in_ruins
	ukrainian_shellings
	unrecognised_state
	people_s_respublic
}

set_rule = {
	can_join_factions = no
}

set_politics = {
	ruling_party = fascism
	last_election = "2019.04.21"
	election_frequency = 60
	elections_allowed = yes
}
set_popularities = {
	democratic = 10
	fascism = 75
	communism = 10
	neutrality = 5
}

every_other_country = {
	limit = {
		NOT = {
			tag = RUS
		}
	}
	add_opinion_modifier = {
		target = ROOT
		modifier = recognize_as_occupied_territory
	}
	add_opinion_modifier = {
		target = ROOT
		modifier = recognize_as_occupied_territory_trade
	}
}

add_opinion_modifier = {
	target = UKR
	modifier = hostile_status
}

add_opinion_modifier = {
	target = RUS
	modifier = mother_russia
}

add_named_threat = {
	threat = 3.1
	name = UKR_crisis
}

create_equipment_variant = {
	name = "Выстрел БМ"
	type = bronemashina1_chassis
	parent_version = 0
	modules = {
		engine_type_slot = tank_lengine_1
		turret_type_slot = tank_lturret_1
		gruz_type_slot = tank_desant_l
		armor_type_slot = tank_armor_l_1
		cyo_type_slot = tank_cyo_a_1
		electronic_type_slot = tank_elec_1
		special_type_slot_1 = tank_kz_1
		special_type_slot_2 = tank_o_rel_1
		special_type_slot_3 = tank_o_prip_1
	}
	upgrades = {
		tank_nsb_engine_upgrade = 0
		tank_nsb_armor_upgrade = 0
	}
	obsolete = yes
	icon = "GFX_bronemashina1_AAB"
}
create_equipment_variant = {
	name = "Тигр БМ"
	type = bronemashina2_chassis
	parent_version = 0
	modules = {
		main_armament_slot = tank_machine_gun
		additional_armament_slot = tank_dop_ags
		engine_type_slot = tank_lengine_1
		turret_type_slot = tank_lturret_1
		gruz_type_slot = tank_desant_l
		armor_type_slot = tank_armor_l_1
		cyo_type_slot = tank_cyo_a_1
		electronic_type_slot = tank_elec_2
		special_type_slot_1 = tank_kz_1
		special_type_slot_2 = tank_o_rel_1
	}
	upgrades = {
		tank_nsb_engine_upgrade = 0
		tank_nsb_armor_upgrade = 0
	}
	icon = "GFX_bronemashina2_AAB"
}
create_equipment_variant = {
	name = "БМП-1 БМ"
	type = bmp1a_chassis
	parent_version = 0
	modules = {
		main_armament_slot = tank_73mm
		additional_armament_slot = tank_dop_machine_gun
		at_armament_slot = tank_at_missle_9k11
		engine_type_slot = tank_mengine_1
		turret_type_slot = tank_mturret_1
		gruz_type_slot = tank_desant_2
		armor_type_slot = tank_armor_m_1
		electronic_type_slot = tank_elec_1
		special_type_slot_2 = tank_o_rel_1
	}
	upgrades = {
		tank_nsb_engine_upgrade = 0
		tank_nsb_armor_upgrade = 0
	}
	icon = "GFX_bmp1_AAB"
}
create_equipment_variant = {
	name = "БМ-21 \"Град\""
	type = mlrs1_chassis
	parent_version = 0
	modules = {
		main_armament_slot = tank_mlrs_122mm
		engine_type_slot = tank_lengine_1
		turret_type_slot = tank_hturret_l2
		gruz_type_slot = tank_gruz_boek
		cyo_type_slot = tank_cyo_a_1
		special_type_slot_1 = tank_o_rel_1

	}
	upgrades = {
		tank_nsb_engine_upgrade = 0
		tank_nsb_armor_upgrade = 0
	}
	icon = "GFX_tyazbronemashina1_ABB"
}
create_equipment_variant = {
	name = "\"Панцирь-С1\""
	type = medium_zrk1_chassis
	parent_version = 0
	modules = {
		main_armament_slot = tank_30mm_2
		additional_armament_slot = tank_dop_light_aa2
		engine_type_slot = tank_lengine_1
		turret_type_slot = tank_mturret_b2
		gruz_type_slot = tank_gruz_boek
		cyo_type_slot = tank_cyo_aa_2
		electronic_type_slot = tank_elec_3
		special_type_slot_1 = tank_o_rel_2
		special_type_slot_2 = tank_o_rel_2
		special_type_slot_4 = tank_gruz_boek
	}
	upgrades = {
		tank_nsb_engine_upgrade = 0
		tank_nsb_armor_upgrade = 0
	}
	icon = "GFX_tyazbronemashina1_ACB"
}
create_equipment_variant = {
	name = "БТР-70 БМ"
	type = btr1_chassis
	parent_version = 0
	modules = {
		main_armament_slot = tank_superheavy_machine_gun
		additional_armament_slot = tank_dop_machine_gun
		engine_type_slot = tank_mengine_1
		turret_type_slot = tank_mturret_1
		gruz_type_slot = tank_desant_1
		armor_type_slot = tank_armor_m_1
		electronic_type_slot = tank_elec_1
		cyo_type_slot = tank_cyo_t_1
		special_type_slot_2 = tank_kz_1
		special_type_slot_4 = tank_o_rel_1
	}
	upgrades = {
		tank_nsb_engine_upgrade = 0
		tank_nsb_armor_upgrade = 0
	}
	icon = "GFX_btr1_AAB"
}
create_equipment_variant = {
	name = "2С1"
	type = medium_sau_chassis_0
	parent_version = 0
	modules = {
		main_armament_slot = tank_122mm
		additional_armament_slot = tank_dop_heavy_machine_gun
		engine_type_slot = tank_hengine_1
		turret_type_slot = tank_hturret_h1
		gruz_type_slot = tank_gruz_boek
		armor_type_slot = tank_armor_h_1
		electronic_type_slot = tank_elec_1
		cyo_type_slot = tank_cyo_t_1a
		special_type_slot_1 = tank_o_rel_2
	}
	upgrades = {
		tank_nsb_engine_upgrade = 0
		tank_nsb_armor_upgrade = 0
	}
	icon = "GFX_t90_ABB"
}
create_equipment_variant = {
	name = "Т-72Б"
	type = t72_chassis_0
	parent_version = 0
	modules = {
		main_armament_slot = tank_125mm_1
		additional_armament_slot = tank_dop_heavy_machine_gun
		at_armament_slot = tank_at_missle_9k119
		engine_type_slot = tank_hengine_2
		turret_type_slot = tank_hturret_1
		gruz_type_slot = tank_gruz_rel2
		armor_type_slot = tank_armor_h_2
		additional_armor_type_slot = tank_armor_r_1
		electronic_type_slot = tank_elec_1
		cyo_type_slot = tank_cyo_t_1a
		special_type_slot_2 =  tank_kz_1
		special_type_slot_1 = tank_o_rel_1
	}
	upgrades = {
		tank_nsb_engine_upgrade = 0
		tank_nsb_armor_upgrade = 0
	}
	icon = "GFX_t72_AAC"
}
create_equipment_variant = {
	name = "Т-64Б"
	type = t64_chassis_0
	parent_version = 0
	modules = {
		main_armament_slot = tank_125mm_1
		additional_armament_slot = tank_dop_heavy_machine_gun
		at_armament_slot = tank_at_missle_9k119
		engine_type_slot = tank_hengine_2
		turret_type_slot = tank_hturret_1
		gruz_type_slot = tank_gruz_rel2
		armor_type_slot = tank_armor_h_2
		electronic_type_slot = tank_elec_1
		cyo_type_slot = tank_cyo_t_1a
		special_type_slot_2 =  tank_kz_1
		special_type_slot_1 = tank_o_rel_1
	}
	upgrades = {
		tank_nsb_engine_upgrade = 0
		tank_nsb_armor_upgrade = 0
	}
	icon = "GFX_t64_AAC"
}
create_equipment_variant = {
	name = "БМП-2 БМ"
	type = bmp2a_chassis
	parent_version = 0
	modules = {
		main_armament_slot = tank_autogun
		additional_armament_slot = tank_dop_machine_gun
		at_armament_slot = tank_at_missle_9k111_1
		engine_type_slot = tank_mengine_1
		turret_type_slot = tank_mturret_2
		gruz_type_slot = tank_desant_2
		armor_type_slot = tank_armor_m_1
		electronic_type_slot = tank_elec_2
		cyo_type_slot = tank_cyo_t_1a
		special_type_slot_1 = tank_kz_1
		special_type_slot_2 = tank_o_rel_1
	}
	upgrades = {
		tank_nsb_engine_upgrade = 0
		tank_nsb_armor_upgrade = 0
	}
	icon = "GFX_bmp2_AAB"
}

add_equipment_to_stockpile = {
	type = mortar_1_eq	
	amount = 900
	producer = LPR
}
add_equipment_to_stockpile = {
	type = mortar_2_eq	
	amount = 320
	producer = LPR
}
add_equipment_to_stockpile = {
	type = atgm_1_eq	
	amount = 750
	producer = LPR
}
add_equipment_to_stockpile = {
	type = atgm_2_eq	
	amount = 850
	producer = LPR
}
add_equipment_to_stockpile = {
	type = ARV_equipment_0	
	amount = 820
	producer = LPR
}
add_equipment_to_stockpile = {
	type = AMV_equipment_0	
	amount = 998
	producer = LPR
}

add_equipment_to_stockpile = {
	type = artillery_equipment_1	
	amount = 325
	producer = LPR
}
add_equipment_to_stockpile = {
	type = artillery_equipment_2	
	amount = 180
	producer = LPR
}
add_equipment_to_stockpile = {
	type = artillery_equipment_3	
	amount = 50
	producer = LPR
}
add_equipment_to_stockpile = {
	type = t64_chassis_0
	variant_name = "Т-64Б"
	amount = 400
	producer = LPR
} 
add_equipment_to_stockpile = {
	type = bronemashina1_chassis
	variant_name = "Выстрел БМ"
	amount = 900
	producer = LPR
} 
add_equipment_to_stockpile = {
	type = bronemashina2_chassis
	variant_name = "Тигр БМ"
	amount = 700
	producer = LPR
} 
add_equipment_to_stockpile = {
	type = bmp1a_chassis
	variant_name = "БМП-1 БМ"
	amount = 600
	producer = LPR
} 
add_equipment_to_stockpile = {
	type = bmp2a_chassis
	variant_name = "БМП-2 БМ"
	amount = 495
	producer = LPR
} 
add_equipment_to_stockpile = {
	type = mlrs1_chassis
	variant_name = "БМ-21 \"Град\""
	amount = 250
	producer = LPR
} 
add_equipment_to_stockpile = {
	type = medium_zrk1_chassis
	variant_name = "\"Панцирь-С1\""
	amount = 140
	producer = LPR
} 
add_equipment_to_stockpile = {
	type = btr1_chassis
	variant_name = "БТР-70 БМ"
	amount = 880
	producer = LPR
}
add_equipment_to_stockpile = {
	type = medium_sau_chassis_0
	variant_name = "2С1"
	amount = 300
	producer = LPR
} 
add_equipment_to_stockpile = {
	type = engineering_equipment_0	
	amount = 900
	producer = LPR
}
add_equipment_to_stockpile = {
	type = infantry_anti_tank_equipment_2	
	amount = 5600
	producer = LPR
}
add_equipment_to_stockpile = {
	type = infantry_anti_tank_equipment_1	
	amount = 8000
	producer = LPR
}
add_equipment_to_stockpile = {
	type = infantry_anti_air_equipment_1	
	amount = 3500
	producer = LPR
}
add_equipment_to_stockpile = {
	type = infantry_equipment_2	
	amount = 54000
	producer = LPR
}
add_equipment_to_stockpile = {
	type = motorized_equipment_1	
	amount = 5800
	producer = LPR
}
add_equipment_to_stockpile = {
	type = support_equipment_1	
	amount = 9000
	producer = LPR
}
add_equipment_to_stockpile = {
	type = t72_chassis_0
	variant_name = "Т-72Б"
	amount = 670
	producer = LPR
}
